"","salario","vacaciones","salario_por_hora","impuestos","sexo","mercado","categoria","distancia","vacaciones_num"
"1",27030.19,"22",13.2919796276783,307.92,"HOMBRE","NACIONAL","TECNICO",25,21
"2",26557.39,"22",13.0594822620302,275.74,"HOMBRE","NACIONAL","TECNICO",6,21
"3",75461.07,"25",36.1799650684932,1454.78,"HOMBRE","MUNDIAL","MANDO_MEDIO",24,24
"4",51452.11,"25",24.6688198630137,951.43,"HOMBRE","MUNDIAL","MANDO_MEDIO",11,24
"5",19640.21,"22",9.41653904109589,250.08,"HOMBRE","LOCAL O REGIONAL","TECNICO",72,21
"6",19324.2,"21",9.26502739726027,204.82,"HOMBRE","NACIONAL","TECNICO",2,20
"7",29020.2,"21",13.9137945205479,737.53,"HOMBRE","LOCAL O REGIONAL","TECNICO",52,20
"8",51962.23,"29",24.9133979452055,658.03,"No contesta","MUNDIAL","MANDO_MEDIO",7,28
"9",51940.35,"30",24.9029075342466,863.26,"HOMBRE","MUNDIAL","MANDO_MEDIO",25,29
"10",16108.38,"25",8.12967988464311,117.92,"No contesta","NACIONAL","TECNICO",4,24
"11",34134.39,"23",16.3658034246575,452.56,"MUJER","NACIONAL","MANDO_MEDIO",79,22
"12",14294.22,"20",7.02912118018967,109.91,"HOMBRE","UNIÓN EUROPEA","TECNICO",77,19
"13",51707.17,"22",24.7911089041096,2431.58,"HOMBRE","MUNDIAL","MANDO_MEDIO",9,21
"14",30293.19,"22",14.5241321917808,825.55,"HOMBRE","MUNDIAL","MANDO_MEDIO",55,21
"15",52475.58,"24",27.1994861162532,507.87,"HOMBRE","NACIONAL","MANDO_MEDIO",70,23
"16",140078.06,"25",68.8827832806463,3122.26,"HOMBRE","MUNDIAL","DIRECTIVO",64,24
"17",3154.23,"22",10.0820136986301,0,"HOMBRE","NACIONAL","TECNICO",23,21
"18",65970.83,"22",34.1944324324324,1834.38,"MUJER","LOCAL O REGIONAL","MANDO_MEDIO",19,21
"19",38527.02,"23",19.969577193632,468.92,"HOMBRE","NACIONAL","MANDO_MEDIO",51,22
"20",72203.57,"22",34.61815,1366.76,"MUJER","NACIONAL","MANDO_MEDIO",76,21
"21",5083.13,"6",2.43711712328767,92.18,"HOMBRE","NACIONAL","TECNICO",72,5
"22",36132,"24",17.3235616438356,524.92,"MUJER","MUNDIAL","MANDO_MEDIO",38,23
"23",24793.02,"23",14.4085628891656,354.82,"MUJER","NACIONAL","TECNICO",37,22
"24",22722.21,"23",10.8942102739726,241.22,"HOMBRE","LOCAL O REGIONAL","TECNICO",2,22
"25",18686.84,"23",8.95944383561644,174.84,"HOMBRE","LOCAL O REGIONAL","TECNICO",73,22
"26",15982.73,"23",7.66295273972603,1007.01,"HOMBRE","MUNDIAL","TECNICO",64,22
"27",61077.9,"23",31.6582969270641,1245.43,"HOMBRE","LOCAL O REGIONAL","MANDO_MEDIO",4,22
"28",29643.23,"23",15.3648730099963,329.68,"HOMBRE","LOCAL O REGIONAL","TECNICO",69,22
"29",20090.46,"23",9.63241232876712,211.2,"HOMBRE","UNIÓN EUROPEA","TECNICO",30,22
"30",18941.24,"22",9.08141643835616,336.26,"HOMBRE","UNIÓN EUROPEA","TECNICO",72,21
"31",17411.03,"26",8.78710958904109,165.65,"MUJER","NACIONAL","TECNICO",2,25
"32",2789.88,"22",13.3761369863014,0,"MUJER","LOCAL O REGIONAL","TECNICO",16,21
"33",35599.98,"23",17.0684835616438,453.57,"HOMBRE","UNIÓN EUROPEA","MANDO_MEDIO",27,22
"34",23303.83,"22",11.1730691780822,132.35,"MUJER","NACIONAL","TECNICO",70,21
"35",26016.73,"23",12.4737746575342,283.5,"No contesta","NACIONAL","TECNICO",37,22
"36",19021.8,"22",9.12004109589041,153.26,"HOMBRE","LOCAL O REGIONAL","TECNICO",52,21
"37",17305.4,"23",8.2971095890411,180.84,"HOMBRE","NACIONAL","TECNICO",24,22
"38",17791.3,"23",8.53007534246575,150.68,"MUJER","NACIONAL","TECNICO",63,22
"39",51086.33,"22",24.493445890411,1029.27,"MUJER","UNIÓN EUROPEA","MANDO_MEDIO",26,21
"40",25346.69,"23",12.1525226027397,339.27,"HOMBRE","NACIONAL","TECNICO",39,22
"41",23897.72,"23",11.4578109589041,282.58,"HOMBRE","NACIONAL","TECNICO",49,22
"42",19100,"23",9.15753424657534,150.07,"HOMBRE","NACIONAL","TECNICO",42,22
"43",1857.02,"23",0.890352054794521,18.17,"MUJER","NACIONAL","TECNICO",80,22
"44",28673.3,"28",14.4710237923576,781.73,"HOMBRE","NACIONAL","TECNICO",67,27
"45",21357.05,"22",10.778612112473,261,"MUJER","NACIONAL","TECNICO",76,21
"46",14924.33,"22",7.15550068493151,319.76,"HOMBRE","LOCAL O REGIONAL","TECNICO",5,21
"47",24078.66,"25",12.152171593367,298.06,"MUJER","LOCAL O REGIONAL","TECNICO",17,24
"48",14670.83,"30",7.0339595890411,193.16,"HOMBRE","NACIONAL","TECNICO",35,29
"49",31991.3,"22",15.3382945205479,549.36,"HOMBRE","UNIÓN EUROPEA","MANDO_MEDIO",30,21
"50",34936.93,"22",16.7505828767123,603.9,"HOMBRE","UNIÓN EUROPEA","MANDO_MEDIO",1,21
"51",35261.52,"22",16.9062082191781,626.89,"HOMBRE","UNIÓN EUROPEA","MANDO_MEDIO",39,21
"52",19456.52,"23",9.32846849315068,97.22,"HOMBRE","LOCAL O REGIONAL","TECNICO",70,22
"53",21927.52,"20",10.5131945205479,232.7,"HOMBRE","MUNDIAL","TECNICO",65,19
"54",30799.9,"23",16.8766575342466,510.76,"HOMBRE","LOCAL O REGIONAL","MANDO_MEDIO",50,22
"55",30019.33,"22",14.7618763610818,385.6,"MUJER","LOCAL O REGIONAL","MANDO_MEDIO",40,21
